Attack target,Loss Amount,Attack Method,Attack Time
Solend,"$1,260,000 ",Oracle Attack,11/2/22
Mango,"$100,000,000 ",Flash Loan,10/11/22
TulipProtocol,"$2,500,000 ",Mango Attack,10/12/22
UXD Protocol,"$20,000,000 ",Mango Attack,10/12/22
OptiFi,"661,000 USDC",Operational Error,8/29/22
Nirvana,"$3,500,000 ",Flash Loan,7/28/22
Crema Finance,"$1,682,000 ",Flash Loan,7/3/22
Jet Protocol,Unknown,Unknown,3/30/22
Cashio,"$52,027,994 ",Hacker bypassed unverified accounts,3/23/22
Wormhole,"120,000 ETH",Developer enabled forged signatures via deprecated function.,2/2/22
