time_interval_hour,total_instruction_activity
2022-01-01 00:00:00.000000 UTC,12429154
2022-01-01 01:00:00.000000 UTC,12413021
2022-01-01 02:00:00.000000 UTC,11218612
2022-01-01 03:00:00.000000 UTC,12325941
2022-01-01 04:00:00.000000 UTC,12737287
2022-01-01 05:00:00.000000 UTC,9508496
2022-01-01 06:00:00.000000 UTC,12615408
2022-01-01 07:00:00.000000 UTC,13164400
2022-01-01 08:00:00.000000 UTC,12771067
2022-01-01 09:00:00.000000 UTC,13010020
2022-01-01 10:00:00.000000 UTC,11806867
2022-01-01 11:00:00.000000 UTC,12903172
2022-01-01 12:00:00.000000 UTC,12662390
2022-01-01 13:00:00.000000 UTC,12050592
2022-01-01 14:00:00.000000 UTC,12441199
2022-01-01 15:00:00.000000 UTC,11664034
2022-01-01 16:00:00.000000 UTC,11333216
2022-01-01 17:00:00.000000 UTC,11322030
2022-01-01 18:00:00.000000 UTC,12345478
2022-01-01 19:00:00.000000 UTC,12107118
2022-01-01 20:00:00.000000 UTC,11742296
2022-01-01 21:00:00.000000 UTC,12675720
2022-01-01 22:00:00.000000 UTC,12969759
2022-01-01 23:00:00.000000 UTC,12501679
2022-01-02 00:00:00.000000 UTC,12448635
2022-01-02 01:00:00.000000 UTC,12569422
2022-01-02 02:00:00.000000 UTC,12716503
2022-01-02 03:00:00.000000 UTC,12692975
2022-01-02 04:00:00.000000 UTC,12778693
2022-01-02 05:00:00.000000 UTC,12963319
2022-01-02 06:00:00.000000 UTC,12800438
2022-01-02 07:00:00.000000 UTC,12703726
2022-01-02 08:00:00.000000 UTC,12874180
2022-01-02 09:00:00.000000 UTC,12121775
2022-01-02 10:00:00.000000 UTC,12316834
2022-01-02 11:00:00.000000 UTC,12837763
2022-01-02 12:00:00.000000 UTC,12172619
2022-01-02 13:00:00.000000 UTC,12847835
2022-01-02 14:00:00.000000 UTC,11746285
2022-01-02 15:00:00.000000 UTC,11078986
2022-01-02 16:00:00.000000 UTC,9481630
2022-01-02 17:00:00.000000 UTC,12222725
2022-01-02 18:00:00.000000 UTC,10353715
2022-01-02 19:00:00.000000 UTC,11546116
2022-01-02 20:00:00.000000 UTC,11943563
2022-01-02 21:00:00.000000 UTC,12652375
2022-01-02 22:00:00.000000 UTC,11992842
2022-01-02 23:00:00.000000 UTC,12401726
2022-01-03 00:00:00.000000 UTC,13052066
2022-01-03 01:00:00.000000 UTC,12718195
2022-01-03 02:00:00.000000 UTC,12505326
2022-01-03 03:00:00.000000 UTC,12761635
2022-01-03 04:00:00.000000 UTC,12685964
2022-01-03 05:00:00.000000 UTC,11158216
2022-01-03 06:00:00.000000 UTC,12535093
2022-01-03 07:00:00.000000 UTC,12513990
2022-01-03 08:00:00.000000 UTC,13108523
2022-01-03 09:00:00.000000 UTC,12732085
2022-01-03 10:00:00.000000 UTC,12481847
2022-01-03 11:00:00.000000 UTC,12472369
2022-01-03 12:00:00.000000 UTC,12800709
2022-01-03 13:00:00.000000 UTC,12361499
2022-01-03 14:00:00.000000 UTC,9392295
2022-01-03 15:00:00.000000 UTC,9103373
2022-01-03 16:00:00.000000 UTC,6836465
2022-01-03 17:00:00.000000 UTC,7805522
2022-01-03 18:00:00.000000 UTC,4933789
2022-01-03 19:00:00.000000 UTC,4488970
2022-01-03 20:00:00.000000 UTC,4576402
2022-01-03 21:00:00.000000 UTC,4604896
2022-01-03 22:00:00.000000 UTC,5557560
2022-01-03 23:00:00.000000 UTC,9701034
2022-01-04 00:00:00.000000 UTC,12240122
2022-01-04 01:00:00.000000 UTC,12718166
2022-01-04 02:00:00.000000 UTC,12904112
2022-01-04 03:00:00.000000 UTC,12967639
2022-01-04 04:00:00.000000 UTC,11983598
2022-01-04 05:00:00.000000 UTC,12979916
2022-01-04 06:00:00.000000 UTC,12818459
2022-01-04 07:00:00.000000 UTC,12728802
2022-01-04 08:00:00.000000 UTC,11695019
2022-01-04 09:00:00.000000 UTC,11969136
