time_interval_hour,mint_instructions
2022-03-20 00:00:00.000000 UTC,68454
2022-03-20 01:00:00.000000 UTC,58084
2022-03-20 02:00:00.000000 UTC,42982
2022-03-20 03:00:00.000000 UTC,46602
2022-03-20 04:00:00.000000 UTC,49153
2022-03-20 05:00:00.000000 UTC,54269
2022-03-20 06:00:00.000000 UTC,49532
2022-03-20 07:00:00.000000 UTC,41329
2022-03-20 08:00:00.000000 UTC,42685
2022-03-20 09:00:00.000000 UTC,56258
2022-03-20 10:00:00.000000 UTC,46530
2022-03-20 11:00:00.000000 UTC,52344
2022-03-20 12:00:00.000000 UTC,79984
2022-03-20 13:00:00.000000 UTC,41529
2022-03-20 14:00:00.000000 UTC,43234
2022-03-20 15:00:00.000000 UTC,56414
2022-03-20 16:00:00.000000 UTC,69474
2022-03-20 17:00:00.000000 UTC,74370
2022-03-20 18:00:00.000000 UTC,64627
2022-03-20 19:00:00.000000 UTC,60135
2022-03-20 20:00:00.000000 UTC,78798
2022-03-20 21:00:00.000000 UTC,107377
2022-03-20 22:00:00.000000 UTC,64211
2022-03-20 23:00:00.000000 UTC,43851
2022-03-21 00:00:00.000000 UTC,47541
2022-03-21 01:00:00.000000 UTC,38944
2022-03-21 02:00:00.000000 UTC,52966
2022-03-21 03:00:00.000000 UTC,49709
2022-03-21 04:00:00.000000 UTC,42362
2022-03-21 05:00:00.000000 UTC,42742
2022-03-21 06:00:00.000000 UTC,45659
2022-03-21 07:00:00.000000 UTC,49893
2022-03-21 08:00:00.000000 UTC,41557
2022-03-21 09:00:00.000000 UTC,64753
2022-03-21 10:00:00.000000 UTC,61870
2022-03-21 11:00:00.000000 UTC,69818
2022-03-21 12:00:00.000000 UTC,59373
2022-03-21 13:00:00.000000 UTC,49671
2022-03-21 14:00:00.000000 UTC,57332
2022-03-21 15:00:00.000000 UTC,57171
2022-03-21 16:00:00.000000 UTC,62283
2022-03-21 17:00:00.000000 UTC,107164
2022-03-21 18:00:00.000000 UTC,93912
2022-03-21 19:00:00.000000 UTC,119786
2022-03-21 20:00:00.000000 UTC,66272
2022-03-21 21:00:00.000000 UTC,55752
2022-03-21 22:00:00.000000 UTC,55936
2022-03-21 23:00:00.000000 UTC,46790
2022-03-22 00:00:00.000000 UTC,51230
2022-03-22 01:00:00.000000 UTC,40868
2022-03-22 02:00:00.000000 UTC,69150
2022-03-22 03:00:00.000000 UTC,61146
2022-03-22 04:00:00.000000 UTC,74480
2022-03-22 05:00:00.000000 UTC,54242
2022-03-22 06:00:00.000000 UTC,64780
2022-03-22 07:00:00.000000 UTC,53724
2022-03-22 08:00:00.000000 UTC,50008
2022-03-22 09:00:00.000000 UTC,48918
2022-03-22 10:00:00.000000 UTC,56673
2022-03-22 11:00:00.000000 UTC,44825
2022-03-22 12:00:00.000000 UTC,50491
2022-03-22 13:00:00.000000 UTC,59266
2022-03-22 14:00:00.000000 UTC,66075
2022-03-22 15:00:00.000000 UTC,57311
2022-03-22 16:00:00.000000 UTC,50501
2022-03-22 17:00:00.000000 UTC,54444
2022-03-22 18:00:00.000000 UTC,41932
2022-03-22 19:00:00.000000 UTC,62595
2022-03-22 20:00:00.000000 UTC,43371
2022-03-22 21:00:00.000000 UTC,47674
2022-03-22 22:00:00.000000 UTC,52520
2022-03-22 23:00:00.000000 UTC,54974
